MINERAL_DEPOSIT_NO,DEPOSIT_NAME,MINERAL_CODE,MINERAL,MINERAL_TYPE,RELATIVE_ABUNDANCE_CODE,RELATIVE_ABUNDANCE_DESC,WEATHERING_PRODUCT,FORM_DISTRIBUTION
2114,BLACK QUEEN EAST,LIM,Limonite,GANGUE,,,Y,
2114,BLACK QUEEN EAST,MAL,Malachite,ORE,,,Y,As Aggregates; Banded/laminated; Disseminated
2114,BLACK QUEEN EAST,QZ,Quartz,GANGUE,,,U,
2115,BLACK QUEEN WEST,AZ,Azurite,ORE,,,Y,Banded/laminated; Disseminated
2115,BLACK QUEEN WEST,CC,Chalcocite,ORE,,,Y,Banded/laminated; Disseminated
2115,BLACK QUEEN WEST,CCP,Chalcopyrite,ORE,,,U,
2115,BLACK QUEEN WEST,CUP,Cuprite,ORE,,,Y,Banded/laminated; Disseminated
2115,BLACK QUEEN WEST,HEM,Hematite,GANGUE,,,U,
2115,BLACK QUEEN WEST,MAL,Malachite,ORE,,,Y,As Aggregates; Banded/laminated; Disseminated
2115,BLACK QUEEN WEST,QZ,Quartz,GANGUE,,,U,
2116,BLUE,AZ,Azurite,ORE,TRACE,1-4 % by volume,Y,Disseminated
2116,BLUE,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,Disseminated
2116,BLUE,CHC,Chalcanthite,ORE,TRACE,1-4 % by volume,N,
2116,BLUE,HEM,Hematite,GANGUE,TRACE,1-4 % by volume,N,
2116,BLUE,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,Disseminated
2116,BLUE,MLT,Melanterite,ORE,TRACE,1-4 % by volume,N,
2116,BLUE,PY,Pyrite,GANGUE,TRACE,1-4 % by volume,N,
2116,BLUE,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2118,COCKSCOMB,AZ,Azurite,ORE,,,Y,Disseminated
2118,COCKSCOMB,CUP,Cuprite,ORE,,,Y,Disseminated
2118,COCKSCOMB,HEM,Hematite,GANGUE,,,U,
2118,COCKSCOMB,JAS,Jasper,GANGUE,,,U,
2118,COCKSCOMB,LIM,Limonite,GANGUE,,,U,
2118,COCKSCOMB,MAL,Malachite,ORE,,,Y,Disseminated
2118,COCKSCOMB,MAN,Manganese Oxide,GANGUE,,,U,
2118,COCKSCOMB,MGT,Magnetite,GANGUE,,,U,
2118,COCKSCOMB,PY,Pyrite,GANGUE,,,U,
2118,COCKSCOMB,QZ,Quartz,GANGUE,,,U,
2144,GRAND JUNCTION,BAR,Barite,GANGUE,MAJOR,30- 70 % by volume,N,
2144,GRAND JUNCTION,CAL,Calcite,GANGUE,TRACE,1-4 % by volume,N,
2144,GRAND JUNCTION,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,As Aggregates
2144,GRAND JUNCTION,CUP,Cuprite,ORE,TRACE,1-4 % by volume,Y,
2144,GRAND JUNCTION,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,As Aggregates; Disseminated
2144,GRAND JUNCTION,MHEM,Hematite  Micaceous,GANGUE,TRACE,1-4 % by volume,N,
2144,GRAND JUNCTION,PY,Pyrite,ORE,TRACE,1-4 % by volume,N,As Aggregates
2144,GRAND JUNCTION,QZ,Quartz,GANGUE,MINOR,5-29 % by volume,N,
2144,GRAND JUNCTION,SD,Siderite,GANGUE,TRACE,1-4 % by volume,N,
2151,HAMILTON,AGN,Argentite,ORE,RARE,<1 % by volume,N,
2151,HAMILTON,AU,Gold,ORE,RARE,<1 % by volume,N,
2151,HAMILTON,CC,Chalcocite,ORE,TRACE,1-4 % by volume,N,Nodular
2151,HAMILTON,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
2151,HAMILTON,CUP,Cuprite,ORE,TRACE,1-4 % by volume,Y,Nodular
2151,HAMILTON,IO,Iron oxide (non specific),GANGUE,MINOR,5-29 % by volume,Y,
2151,HAMILTON,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,Nodular
2151,HAMILTON,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2151,HAMILTON,SD,Siderite,GANGUE,TRACE,1-4 % by volume,N,
2160,MOUNT MCDONNELL,AGN,Argentite,ORE,RARE,<1 % by volume,N,
2160,MOUNT MCDONNELL,AU,Gold,ORE,RARE,<1 % by volume,N,
2160,MOUNT MCDONNELL,AZ,Azurite,ORE,TRACE,1-4 % by volume,Y,
2160,MOUNT MCDONNELL,BI,Bismuth,ORE,RARE,<1 % by volume,Y,
2160,MOUNT MCDONNELL,BMN,Bismuthinite,ORE,RARE,<1 % by volume,Y,
2160,MOUNT MCDONNELL,BMT,Bismutite,ORE,RARE,<1 % by volume,Y,
2160,MOUNT MCDONNELL,BN,Bornite,ORE,TRACE,1-4 % by volume,N,
2160,MOUNT MCDONNELL,CAL,Calcite,GANGUE,MINOR,5-29 % by volume,N,Veinlets
2160,MOUNT MCDONNELL,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
2160,MOUNT MCDONNELL,HEM,Hematite,GANGUE,TRACE,1-4 % by volume,Y,
2160,MOUNT MCDONNELL,LIM,Limonite,GANGUE,TRACE,1-4 % by volume,Y,
2160,MOUNT MCDONNELL,MAL,Malachite,ORE,TRACE,1-4 % by volume,Y,As Aggregates; As Coating/film; Disseminated
2160,MOUNT MCDONNELL,MHEM,Hematite  Micaceous,GANGUE,RARE,<1 % by volume,N,
2160,MOUNT MCDONNELL,PY,Pyrite,GANGUE,TRACE,1-4 % by volume,N,
2160,MOUNT MCDONNELL,QZ,Quartz,GANGUE,MINOR,5-29 % by volume,N,Veinlets
2160,MOUNT MCDONNELL,SD,Siderite,GANGUE,MINOR,5-29 % by volume,N,Veinlets
4157,BALANCING ROCK,CARB,Carbonate,GANGUE,MINOR,5-29 % by volume,N,
4157,BALANCING ROCK,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
4157,BALANCING ROCK,MAL,Malachite,ORE,TRACE,1-4 % by volume,Y,
4157,BALANCING ROCK,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
4166,BERNINIS,MAL,Malachite,ORE,TRACE,1-4 % by volume,Y,
4166,BERNINIS,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
4255,GREAT OVERSIGHT,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
4255,GREAT OVERSIGHT,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
4307,MOLLER AND RANKINES,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
4307,MOLLER AND RANKINES,CLAY,Clay mineral,GANGUE,ABUNDANT,>70 % by volume,Y,
4307,MOLLER AND RANKINES,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
4307,MOLLER AND RANKINES,QZ,Quartz,GANGUE,MINOR,5-29 % by volume,N,
4314,MOULES CLAIM,CC,Chalcocite,ORE,TRACE,1-4 % by volume,N,
4314,MOULES CLAIM,CCP,Chalcopyrite,ORE,MINOR,5-29 % by volume,N,
4314,MOULES CLAIM,CUP,Cuprite,ORE,TRACE,1-4 % by volume,Y,
4314,MOULES CLAIM,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
4314,MOULES CLAIM,MGT,Magnetite,GANGUE,TRACE,1-4 % by volume,N,
4314,MOULES CLAIM,MHEM,Hematite  Micaceous,GANGUE,ABUNDANT,>70 % by volume,N,
4314,MOULES CLAIM,PY,Pyrite,GANGUE,MINOR,5-29 % by volume,N,
4418,VALLEY,PIT,Pitchblende,ORE,TRACE,1-4 % by volume,Y,
4418,VALLEY,QZ,Quartz,GANGUE,ABUNDANT,>70 % by volume,N,
4418,VALLEY,URN,Uraninite,ORE,TRACE,1-4 % by volume,Y,
4429,WHEAL MARIA,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
4429,WHEAL MARIA,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
4444,YELDA,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
4444,YELDA,QZ,Quartz,GANGUE,ABUNDANT,>70 % by volume,N,
9208,WHEAL GLEESON SOUTH 1,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
9223,WATERFALL CREEK,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
9223,WATERFALL CREEK,QZ,Quartz,GANGUE,ABUNDANT,>70 % by volume,N,
9224,PINNACLES SOUTH,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
